"TRANS1G","GEO","UNIT","TIME","ISCED11","SEX","Value","Flag and Footnotes"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","79.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","86.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Males","57.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Portugal","Percentage","2019","Tertiary education (levels 5-8)","Females","61.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","65.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","58.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","25.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","25.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Tertiary education (levels 5-8)","Males","3.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Romania","Percentage","2019","Tertiary education (levels 5-8)","Females","6.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","43.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","59.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","29.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","33.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Tertiary education (levels 5-8)","Males","8.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovenia","Percentage","2019","Tertiary education (levels 5-8)","Females","9.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","87.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","92.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","59.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","59.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Tertiary education (levels 5-8)","Males","16.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Slovakia","Percentage","2019","Tertiary education (levels 5-8)","Females","19.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","41.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","45.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","24.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","23.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Tertiary education (levels 5-8)","Males","13.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Finland","Percentage","2019","Tertiary education (levels 5-8)","Females","15.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","45.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","53.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","26.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","28.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Tertiary education (levels 5-8)","Males","13.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Sweden","Percentage","2019","Tertiary education (levels 5-8)","Females","17.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","United Kingdom","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Iceland","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","22.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","26.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","11.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","18.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Tertiary education (levels 5-8)","Males","6.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Norway","Percentage","2019","Tertiary education (levels 5-8)","Females","4.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","56.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","61.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","17.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","21.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Tertiary education (levels 5-8)","Males","10.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Switzerland","Percentage","2019","Tertiary education (levels 5-8)","Females","9.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","73.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","83.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","34.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","32.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Tertiary education (levels 5-8)","Males","13.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Montenegro","Percentage","2019","Tertiary education (levels 5-8)","Females","9.0",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","93.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","92.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","48.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","49.8",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Tertiary education (levels 5-8)","Males","23.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","North Macedonia","Percentage","2019","Tertiary education (levels 5-8)","Females","11.6",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","80.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","80.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","33.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","36.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Tertiary education (levels 5-8)","Males","9.3",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Serbia","Percentage","2019","Tertiary education (levels 5-8)","Females","6.7",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","Turkey","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","12.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","13.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","41.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","40.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","32.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","34.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","12.7","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","13.2","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","41.2","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","40.0","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","32.6","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","34.2","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 28 countries (2013-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","European Union - 27 countries (2007-2013)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","10.0","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","9.9","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","33.1","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","32.7","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Tertiary education (levels 5-8)","Males","28.4","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Percentage","2019","Tertiary education (levels 5-8)","Females","28.5","e"
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","10.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","9.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","33.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","32.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Tertiary education (levels 5-8)","Males","28.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 19 countries  (from 2015)","Percentage","2019","Tertiary education (levels 5-8)","Females","28.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Tertiary education (levels 5-8)","Males",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Euro area - 18 countries (2014)","Percentage","2019","Tertiary education (levels 5-8)","Females",":",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","15.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","16.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","32.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","30.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Males","27.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Belgium","Percentage","2019","Tertiary education (levels 5-8)","Females","31.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","11.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","10.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","63.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","59.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Males","51.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Bulgaria","Percentage","2019","Tertiary education (levels 5-8)","Females","58.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","21.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","19.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","38.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","37.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Males","42.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Czechia","Percentage","2019","Tertiary education (levels 5-8)","Females","45.4",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","32.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","41.1",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","45.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","43.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Males","30.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Denmark","Percentage","2019","Tertiary education (levels 5-8)","Females","33.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","27.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","34.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","51.3",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","54.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Males","34.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Germany (until 1990 former territory of the FRG)","Percentage","2019","Tertiary education (levels 5-8)","Females","32.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","49.0",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","45.6",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","40.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","43.2",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Males","30.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Estonia","Percentage","2019","Tertiary education (levels 5-8)","Females","33.5",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","24.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","21.9",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","49.8",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","37.7",""
"From upper secondary and post-secondary non-tertiary education (levels 3 and 4) of the parents","Ireland","Percentage","2019","Tertiary education (levels 5-8)","Males","42.9",""
