"TIME","GEO","HHTYP","Value","Flag and Footnotes"
"2019","Portugal","Single male","7.8",""
"2019","Portugal","Single person with dependent children","4.8",""
"2019","Portugal","One adult 65 years or over","13.2",""
"2019","Portugal","One adult younger than 65 years","9.6",""
"2019","Portugal","Two adults","31.1",""
"2019","Portugal","Two adults with one dependent child","13.2",""
"2019","Portugal","Two adults with two dependent children","9.1",""
"2019","Portugal","Two adults younger than 65 years","13.0",""
"2019","Portugal","Two adults, at least one aged 65 years or over","18.0",""
"2019","Portugal","Two adults with three or more dependent children","1.4",""
"2019","Portugal","Three or more adults","11.6",""
"2019","Portugal","Three or more adults with dependent children","6.0",""
"2019","Portugal","Households with dependent children","34.5",""
"2019","Portugal","Households without dependent children","65.5",""
"2019","Romania","Single person","29.8",""
"2019","Romania","Single female","17.8",""
"2019","Romania","Single male","12.1",""
"2019","Romania","Single person with dependent children","2.7",""
"2019","Romania","One adult 65 years or over","16.1",""
"2019","Romania","One adult younger than 65 years","13.7",""
"2019","Romania","Two adults","24.5",""
"2019","Romania","Two adults with one dependent child","9.7",""
"2019","Romania","Two adults with two dependent children","9.6",""
"2019","Romania","Two adults younger than 65 years","12.8",""
"2019","Romania","Two adults, at least one aged 65 years or over","11.6",""
"2019","Romania","Two adults with three or more dependent children","2.9",""
"2019","Romania","Three or more adults","10.2",""
"2019","Romania","Three or more adults with dependent children","10.6",""
"2019","Romania","Households with dependent children","35.5",""
"2019","Romania","Households without dependent children","64.5",""
"2019","Slovenia","Single person","29.6",""
"2019","Slovenia","Single female","16.3",""
"2019","Slovenia","Single male","13.3",""
"2019","Slovenia","Single person with dependent children","3.7",""
"2019","Slovenia","One adult 65 years or over","14.1",""
"2019","Slovenia","One adult younger than 65 years","15.6",""
"2019","Slovenia","Two adults","25.6",""
"2019","Slovenia","Two adults with one dependent child","9.9",""
"2019","Slovenia","Two adults with two dependent children","12.6",""
"2019","Slovenia","Two adults younger than 65 years","11.3",""
"2019","Slovenia","Two adults, at least one aged 65 years or over","14.3",""
"2019","Slovenia","Two adults with three or more dependent children","3.3",""
"2019","Slovenia","Three or more adults","10.4",""
"2019","Slovenia","Three or more adults with dependent children","4.9",""
"2019","Slovenia","Households with dependent children","34.3",""
"2019","Slovenia","Households without dependent children","65.7",""
"2019","Slovakia","Single person","18.3",""
"2019","Slovakia","Single female","12.1",""
"2019","Slovakia","Single male","6.2",""
"2019","Slovakia","Single person with dependent children","2.0",""
"2019","Slovakia","One adult 65 years or over","10.1",""
"2019","Slovakia","One adult younger than 65 years","8.2",""
"2019","Slovakia","Two adults","27.8",""
"2019","Slovakia","Two adults with one dependent child","8.6",""
"2019","Slovakia","Two adults with two dependent children","11.5",""
"2019","Slovakia","Two adults younger than 65 years","14.1",""
"2019","Slovakia","Two adults, at least one aged 65 years or over","13.7",""
"2019","Slovakia","Two adults with three or more dependent children","2.5",""
"2019","Slovakia","Three or more adults","16.1",""
"2019","Slovakia","Three or more adults with dependent children","13.0",""
"2019","Slovakia","Households with dependent children","37.7",""
"2019","Slovakia","Households without dependent children","62.3",""
"2019","Finland","Single person","44.7",""
"2019","Finland","Single female","24.8",""
"2019","Finland","Single male","19.9",""
"2019","Finland","Single person with dependent children","3.9",""
"2019","Finland","One adult 65 years or over","17.7",""
"2019","Finland","One adult younger than 65 years","26.9",""
"2019","Finland","Two adults","30.2",""
"2019","Finland","Two adults with one dependent child","7.0",""
"2019","Finland","Two adults with two dependent children","7.4",""
"2019","Finland","Two adults younger than 65 years","16.5",""
"2019","Finland","Two adults, at least one aged 65 years or over","13.7",""
"2019","Finland","Two adults with three or more dependent children","3.6",""
"2019","Finland","Three or more adults","2.0",""
"2019","Finland","Three or more adults with dependent children","1.1",""
"2019","Finland","Households with dependent children","23.0",""
"2019","Finland","Households without dependent children","77.0",""
"2019","Sweden","Single person","46.6",""
"2019","Sweden","Single female","23.2",""
"2019","Sweden","Single male","23.3",""
"2019","Sweden","Single person with dependent children","5.7",""
"2019","Sweden","One adult 65 years or over","16.7",""
"2019","Sweden","One adult younger than 65 years","29.9",""
"2019","Sweden","Two adults","25.9",""
"2019","Sweden","Two adults with one dependent child","6.7",""
"2019","Sweden","Two adults with two dependent children","8.1",""
"2019","Sweden","Two adults younger than 65 years","13.6",""
"2019","Sweden","Two adults, at least one aged 65 years or over","12.3",""
"2019","Sweden","Two adults with three or more dependent children","3.4",""
"2019","Sweden","Three or more adults","1.9",""
"2019","Sweden","Three or more adults with dependent children","1.7",""
"2019","Sweden","Households with dependent children","25.6",""
"2019","Sweden","Households without dependent children","74.4",""
"2019","United Kingdom","Single person",":",""
"2019","United Kingdom","Single female",":",""
"2019","United Kingdom","Single male",":",""
"2019","United Kingdom","Single person with dependent children",":",""
"2019","United Kingdom","One adult 65 years or over",":",""
"2019","United Kingdom","One adult younger than 65 years",":",""
"2019","United Kingdom","Two adults",":",""
"2019","United Kingdom","Two adults with one dependent child",":",""
"2019","United Kingdom","Two adults with two dependent children",":",""
"2019","United Kingdom","Two adults younger than 65 years",":",""
"2019","United Kingdom","Two adults, at least one aged 65 years or over",":",""
"2019","United Kingdom","Two adults with three or more dependent children",":",""
"2019","United Kingdom","Three or more adults",":",""
"2019","United Kingdom","Three or more adults with dependent children",":",""
"2019","United Kingdom","Households with dependent children",":",""
"2019","United Kingdom","Households without dependent children",":",""
"2019","Iceland","Single person",":",""
"2019","Iceland","Single female",":",""
"2019","Iceland","Single male",":",""
"2019","Iceland","Single person with dependent children",":",""
"2019","Iceland","One adult 65 years or over",":",""
"2019","Iceland","One adult younger than 65 years",":",""
"2019","Iceland","Two adults",":",""
"2019","Iceland","Two adults with one dependent child",":",""
"2019","Iceland","Two adults with two dependent children",":",""
"2019","Iceland","Two adults younger than 65 years",":",""
"2019","Iceland","Two adults, at least one aged 65 years or over",":",""
"2019","Iceland","Two adults with three or more dependent children",":",""
"2019","Iceland","Three or more adults",":",""
"2019","Iceland","Three or more adults with dependent children",":",""
"2019","Iceland","Households with dependent children",":",""
"2019","Iceland","Households without dependent children",":",""
"2019","Norway","Single person","45.6",""
"2019","Norway","Single female","22.1",""
"2019","Norway","Single male","23.5",""
"2019","Norway","Single person with dependent children","5.7",""
"2019","Norway","One adult 65 years or over","13.6",""
"2019","Norway","One adult younger than 65 years","32.1",""
"2019","Norway","Two adults","26.5",""
"2019","Norway","Two adults with one dependent child","6.8",""
"2019","Norway","Two adults with two dependent children","8.4",""
"2019","Norway","Two adults younger than 65 years","14.9",""
"2019","Norway","Two adults, at least one aged 65 years or over","11.5",""
"2019","Norway","Two adults with three or more dependent children","3.7",""
"2019","Norway","Three or more adults","1.8",""
"2019","Norway","Three or more adults with dependent children","1.5",""
"2019","Norway","Households with dependent children","26.1",""
"2019","Norway","Households without dependent children","73.9",""
"2019","Switzerland","Single person","37.7",""
"2019","Switzerland","Single female","20.5",""
"2019","Switzerland","Single male","17.2",""
"2019","Switzerland","Single person with dependent children","3.6",""
"2019","Switzerland","One adult 65 years or over","13.3",""
"2019","Switzerland","One adult younger than 65 years","24.4",""
"2019","Switzerland","Two adults","31.9",""
"2019","Switzerland","Two adults with one dependent child","7.0",""
"2019","Switzerland","Two adults with two dependent children","9.0",""
"2019","Switzerland","Two adults younger than 65 years","18.0",""
"2019","Switzerland","Two adults, at least one aged 65 years or over","13.9",""
"2019","Switzerland","Two adults with three or more dependent children","2.8",""
"2019","Switzerland","Three or more adults","4.9",""
"2019","Switzerland","Three or more adults with dependent children","3.1",""
"2019","Switzerland","Households with dependent children","25.5",""
"2019","Switzerland","Households without dependent children","74.5",""
"2019","Montenegro","Single person","19.3",""
"2019","Montenegro","Single female","11.8",""
"2019","Montenegro","Single male","7.5",""
"2019","Montenegro","Single person with dependent children","2.3",""
"2019","Montenegro","One adult 65 years or over","10.5",""
"2019","Montenegro","One adult younger than 65 years","8.8",""
"2019","Montenegro","Two adults","16.6",""
"2019","Montenegro","Two adults with one dependent child","6.4",""
"2019","Montenegro","Two adults with two dependent children","12.1",""
"2019","Montenegro","Two adults younger than 65 years","8.0",""
"2019","Montenegro","Two adults, at least one aged 65 years or over","8.6",""
"2019","Montenegro","Two adults with three or more dependent children","7.8",""
"2019","Montenegro","Three or more adults","17.3",""
"2019","Montenegro","Three or more adults with dependent children","18.4",""
"2019","Montenegro","Households with dependent children","46.9",""
"2019","Montenegro","Households without dependent children","53.1",""
"2019","North Macedonia","Single person","9.7",""
"2019","North Macedonia","Single female","5.9",""
"2019","North Macedonia","Single male","3.8",""
"2019","North Macedonia","Single person with dependent children","1.2",""
"2019","North Macedonia","One adult 65 years or over","6.4",""
"2019","North Macedonia","One adult younger than 65 years","3.2",""
"2019","North Macedonia","Two adults","18.6",""
"2019","North Macedonia","Two adults with one dependent child","5.5",""
"2019","North Macedonia","Two adults with two dependent children","12.5",""
"2019","North Macedonia","Two adults younger than 65 years","8.8",""
"2019","North Macedonia","Two adults, at least one aged 65 years or over","9.9",""
"2019","North Macedonia","Two adults with three or more dependent children","2.9",""
"2019","North Macedonia","Three or more adults","24.2",""
"2019","North Macedonia","Three or more adults with dependent children","25.5",""
"2019","North Macedonia","Households with dependent children","47.5",""
"2019","North Macedonia","Households without dependent children","52.5",""
"2019","Serbia","Single person","22.4",""
"2019","Serbia","Single female","13.1",""
"2019","Serbia","Single male","9.2",""
"2019","Serbia","Single person with dependent children","2.3",""
"2019","Serbia","One adult 65 years or over","14.0",""
"2019","Serbia","One adult younger than 65 years","8.4",""
"2019","Serbia","Two adults","24.5",""
"2019","Serbia","Two adults with one dependent child","7.2",""
"2019","Serbia","Two adults with two dependent children","9.2",""
"2019","Serbia","Two adults younger than 65 years","8.7",""
"2019","Serbia","Two adults, at least one aged 65 years or over","15.8",""
"2019","Serbia","Two adults with three or more dependent children","1.9",""
"2019","Serbia","Three or more adults","17.4",""
"2019","Serbia","Three or more adults with dependent children","14.9",""
"2019","Serbia","Households with dependent children","35.7",""
"2019","Serbia","Households without dependent children","64.3",""
"2019","Turkey","Single person","16.8",""
"2019","Turkey","Single female","9.6",""
"2019","Turkey","Single male","7.2",""
"2019","Turkey","Single person with dependent children","2.0",""
"2019","Turkey","One adult 65 years or over","6.9",""
"2019","Turkey","One adult younger than 65 years","9.9",""
"2019","Turkey","Two adults","20.0",""
"2019","Turkey","Two adults with one dependent child","11.3",""
"2019","Turkey","Two adults with two dependent children","12.8",""
"2019","Turkey","Two adults younger than 65 years","12.2",""
"2019","Turkey","Two adults, at least one aged 65 years or over","7.8",""
"2019","Turkey","Two adults with three or more dependent children","8.8",""
"2019","Turkey","Three or more adults","12.1",""
"2019","Turkey","Three or more adults with dependent children","16.2",""
"2019","Turkey","Households with dependent children","51.1",""
"2019","Turkey","Households without dependent children","48.9",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Single person",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Single female",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Single male",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Single person with dependent children",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","One adult 65 years or over",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","One adult younger than 65 years",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults with one dependent child",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults with two dependent children",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults younger than 65 years",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults, at least one aged 65 years or over",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Two adults with three or more dependent children",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Three or more adults",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Three or more adults with dependent children",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Households with dependent children",":",""
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Households without dependent children",":",""
